"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","throws if CMS_ENCRYPTION_KEY is not valid base64","Config Helper","Wed Oct 15 04:44:31 UTC 2025","passed","Wed Oct 15 04:44:31 UTC 2025","","makePasswordModConfig","",""
"","0","should default allowedOrigins to *","response-helpers","Wed Oct 15 04:44:39 UTC 2025","passed","Wed Oct 15 04:44:39 UTC 2025","","OptionsResponse","",""
"","1","should handle file system operations","tryCatch","Wed Oct 15 04:44:27 UTC 2025","passed","Wed Oct 15 04:44:27 UTC 2025","","real-world usage examples","",""
"","8","should use defaults when no config is provided","dashboardConfigSchema","Wed Oct 15 04:45:00 UTC 2025","passed","Wed Oct 15 04:45:00 UTC 2025","","","",""
"","5","should handle mailer function errors","SMTP Service","Wed Oct 15 04:44:30 UTC 2025","passed","Wed Oct 15 04:44:30 UTC 2025","","Mailer function","",""
"","0","should return a valid StudioCMSPlugin object","@studiocms/google","Wed Oct 15 04:44:35 UTC 2025","passed","Wed Oct 15 04:44:35 UTC 2025","","plugin creation","",""
"","0","returns site defaultOgImage if hero is empty string","heroHelper tests","Wed Oct 15 04:44:48 UTC 2025","passed","Wed Oct 15 04:44:48 UTC 2025","getHeroImage","trimInput","",""
"","0","should have correct minimum version requirement","@studiocms/discord","Wed Oct 15 04:44:35 UTC 2025","passed","Wed Oct 15 04:44:35 UTC 2025","","plugin structure","",""
"","16","parseAPIContextJson: should fail if JSON parsing fails","API Context Utils","Wed Oct 15 04:44:41 UTC 2025","passed","Wed Oct 15 04:44:41 UTC 2025","","","",""
"","3","Renderer handles missing data prop gracefully","MarkDoc Renderer component","Wed Oct 15 04:44:29 UTC 2025","passed","Wed Oct 15 04:44:29 UTC 2025","","","",""
"","5","Renderer throws with no props","Renderer component","Wed Oct 15 04:45:13 UTC 2025","passed","Wed Oct 15 04:45:13 UTC 2025","","","",""
