"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","runAstroConfigHook collects integrations","StudioCMSPluginTester","Mon Oct 20 16:59:18 UTC 2025","passed","Mon Oct 20 16:59:18 UTC 2025","","","",""
"","0","should handle empty string","String Utilities","Mon Oct 20 16:59:01 UTC 2025","passed","Mon Oct 20 16:59:01 UTC 2025","","convertUnderscoresToHyphens","",""
"","15","runs dev and sets up watch","builder","Mon Oct 20 16:59:13 UTC 2025","passed","Mon Oct 20 16:59:13 UTC 2025","","","",""
"","0","returns undefined when opt is undefined","preRender","Mon Oct 20 16:59:25 UTC 2025","passed","Mon Oct 20 16:59:25 UTC 2025","","parseCallouts","",""
"","0","fetches and updates cache if dev mode and cache is stale","getLatestVersion","Mon Oct 20 16:59:12 UTC 2025","passed","Mon Oct 20 16:59:12 UTC 2025","","","",""
"","1","should list available UI translations","i18n/config","Mon Oct 20 16:59:41 UTC 2025","passed","Mon Oct 20 16:59:41 UTC 2025","","","",""
"","0","PageFolderTreeMapID should be ""__StudioCMS_Page_Folder_Tree""","StudioCMS SDK Constants","Mon Oct 20 16:59:44 UTC 2025","passed","Mon Oct 20 16:59:44 UTC 2025","","","",""
"","29","renders editor with basic content","WYSIWYG Editor Component","Mon Oct 20 16:59:31 UTC 2025","passed","Mon Oct 20 16:59:31 UTC 2025","","","",""
"","3","validateSessionToken returns null session for invalid token","Session Module","Mon Oct 20 16:59:12 UTC 2025","passed","Mon Oct 20 16:59:12 UTC 2025","","","",""
"","10","should render simple MDX content","renderMDX","Mon Oct 20 16:58:55 UTC 2025","passed","Mon Oct 20 16:58:55 UTC 2025","","","",""
"","0","returns NaN for empty array","webVitalsUtils","Mon Oct 20 16:59:00 UTC 2025","passed","Mon Oct 20 16:59:00 UTC 2025","","calculateClsAverage","",""
"","0","should handle variables with spaces","TemplateParser","Mon Oct 20 16:59:32 UTC 2025","passed","Mon Oct 20 16:59:32 UTC 2025","","parse","",""
"","0","should have a Reset Password button with correct styles","passwordReset template","Mon Oct 20 16:59:39 UTC 2025","passed","Mon Oct 20 16:59:39 UTC 2025","","","",""
"","6","provides a service for deep merging","deepmerge test","Mon Oct 20 16:59:24 UTC 2025","passed","Mon Oct 20 16:59:24 UTC 2025","","Deepmerge Effect Service","",""
"","26","Editor with props","Editor component","Mon Oct 20 16:59:07 UTC 2025","passed","Mon Oct 20 16:59:07 UTC 2025","","","",""
"","0","should have no required dependencies","@studiocms/google","Mon Oct 20 16:59:10 UTC 2025","passed","Mon Oct 20 16:59:10 UTC 2025","","plugin structure","",""
"","0","should aggregate page views for last7DaysData","buildPageRouteDataObject","Mon Oct 20 16:59:25 UTC 2025","passed","Mon Oct 20 16:59:25 UTC 2025","","","",""
"","0","handles allowComponents if supported","WYSIWYG Types and Schema","Mon Oct 20 16:59:09 UTC 2025","passed","Mon Oct 20 16:59:09 UTC 2025","","Schema edge cases","",""
"","0","returns undefined if configPaths is empty","Watcher Utils","Mon Oct 20 16:59:32 UTC 2025","passed","Mon Oct 20 16:59:32 UTC 2025","","findConfig","",""
"","9","should create integration with default options","StudioCMS DevApps Integration","Mon Oct 20 16:59:42 UTC 2025","passed","Mon Oct 20 16:59:42 UTC 2025","","studioCMSDevApps","",""
"","3","renders editor without page id","WYSIWYG Editor Component","Mon Oct 20 16:59:31 UTC 2025","passed","Mon Oct 20 16:59:31 UTC 2025","","","",""
"","4","should map oAuthButtons to providerData correctly","oAuthButtonProviders","Mon Oct 20 16:59:49 UTC 2025","passed","Mon Oct 20 16:59:49 UTC 2025","","","",""
"","1","should throw error when file does not exist","readJson","Mon Oct 20 16:59:26 UTC 2025","passed","Mon Oct 20 16:59:26 UTC 2025","","","",""
"","0","should return true for current date in all checks","checkDate","Mon Oct 20 16:59:33 UTC 2025","passed","Mon Oct 20 16:59:33 UTC 2025","","","",""
"","0","handles boolean true","SDKCacheSchema","Mon Oct 20 16:59:15 UTC 2025","passed","Mon Oct 20 16:59:15 UTC 2025","","","",""
"","0","should handle promise that resolves to undefined","tryCatch","Mon Oct 20 16:59:01 UTC 2025","passed","Mon Oct 20 16:59:01 UTC 2025","","edge cases","",""
