"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","should include all required GitHub environment variables","@studiocms/github","Mon Oct 20 16:39:57 UTC 2025","passed","Mon Oct 20 16:39:57 UTC 2025","","OAuth provider configuration","",""
"","0","throws SyntaxError for empty string","Utils","Mon Oct 20 16:40:03 UTC 2025","passed","Mon Oct 20 16:40:03 UTC 2025","","parse","",""
"","0","should allow empty HTMLSchemaOptions","HTMLSchema","Mon Oct 20 16:40:15 UTC 2025","passed","Mon Oct 20 16:40:15 UTC 2025","","type inference","",""
"","16","runs build with correct esbuild options","buildkit CLI","Mon Oct 20 16:40:06 UTC 2025","passed","Mon Oct 20 16:40:06 UTC 2025","","","",""
"","0","should validate Astro flavor schema correctly","studiocmsMD","Mon Oct 20 16:39:42 UTC 2025","passed","Mon Oct 20 16:39:42 UTC 2025","","schema validation","",""
"","0","remapFilterSitemap returns correct locations (uncurried)","getBlogRoute","Mon Oct 20 16:40:10 UTC 2025","passed","Mon Oct 20 16:40:10 UTC 2025","","","",""
"","0","should have correct plugin name","@studiocms/discord","Mon Oct 20 16:39:56 UTC 2025","passed","Mon Oct 20 16:39:56 UTC 2025","","plugin structure","",""
"","2","should throw error for missing variables in strict mode","TemplateEngine","Mon Oct 20 16:40:05 UTC 2025","passed","Mon Oct 20 16:40:05 UTC 2025","","Strict mode","",""
"","0","should export CDN URL and favicon assets","consts.ts","Mon Oct 20 16:39:55 UTC 2025","passed","Mon Oct 20 16:39:55 UTC 2025","","","",""
"","4","accepts valid sanitize options","StudioCMSSanitizeOptionsSchema","Mon Oct 20 16:40:09 UTC 2025","passed","Mon Oct 20 16:40:09 UTC 2025","","","",""
"","0","should return empty arrays if input is empty","buildPageRouteDataObject","Mon Oct 20 16:40:11 UTC 2025","passed","Mon Oct 20 16:40:11 UTC 2025","","","",""
"","0","should not have other hooks","@studiocms/auth0","Mon Oct 20 16:39:56 UTC 2025","passed","Mon Oct 20 16:39:56 UTC 2025","","hook implementation","",""
"","4","testToken throws on invalid token","SDKCore_Generators","Mon Oct 20 16:40:20 UTC 2025","passed","Mon Oct 20 16:40:20 UTC 2025","","","",""
"","0","renderMarkDoc handles complex content","MarkDoc Render Library","Mon Oct 20 16:39:51 UTC 2025","passed","Mon Oct 20 16:39:51 UTC 2025","","","",""
"","0","logs and throws error for type true","throwMsg","Mon Oct 20 16:39:49 UTC 2025","passed","Mon Oct 20 16:39:49 UTC 2025","","","",""
"","2","makeExpirationDate throws SessionError if expTime is not a number","Session Utils","Mon Oct 20 16:40:24 UTC 2025","passed","Mon Oct 20 16:40:24 UTC 2025","","","",""
"","0","handles already uppercase first character","Utils","Mon Oct 20 16:40:03 UTC 2025","passed","Mon Oct 20 16:40:03 UTC 2025","","firstUpperCase","",""
