"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","should return false for a date older than 7 days","checkDate","Sat Oct 18 10:55:58 UTC 2025","passed","Sat Oct 18 10:55:58 UTC 2025","","","",""
"","3","should propagate errors from the handler","Api-Route Tests","Sat Oct 18 10:55:25 UTC 2025","passed","Sat Oct 18 10:55:25 UTC 2025","","withEffectAPI tests","",""
"","1","should configure GitHub OAuth provider in studiocms config hook","@studiocms/github","Sat Oct 18 10:55:34 UTC 2025","passed","Sat Oct 18 10:55:34 UTC 2025","","hooks","",""
"","1","throws error for invalid blockElements type","WYSIWYG Types and Schema","Sat Oct 18 10:55:33 UTC 2025","passed","Sat Oct 18 10:55:33 UTC 2025","","WYSIWYGSchema","",""
"","0","should work with a URL object","verifyEmail template","Sat Oct 18 10:56:09 UTC 2025","passed","Sat Oct 18 10:56:09 UTC 2025","","","",""
"","0","should configure Google as OAuth provider","@studiocms/google","Sat Oct 18 10:55:33 UTC 2025","passed","Sat Oct 18 10:55:33 UTC 2025","","OAuth provider configuration","",""
"","4","updates page header title","pageHeaderUpdater","Sat Oct 18 10:56:15 UTC 2025","passed","Sat Oct 18 10:56:15 UTC 2025","","","",""
"","0","should create layer with makeLayer","WordPress API Configs","Sat Oct 18 10:55:24 UTC 2025","passed","Sat Oct 18 10:55:24 UTC 2025","","DownloadImageConfig","",""
"","3","fetches latest version from npm and returns it","getLatestVersion","Sat Oct 18 10:55:38 UTC 2025","passed","Sat Oct 18 10:55:38 UTC 2025","","","",""
"","0","should validate and transform dev apps config","schema","Sat Oct 18 10:55:43 UTC 2025","passed","Sat Oct 18 10:55:43 UTC 2025","","StudioCMSDevAppsSchema","",""
"","2","returns correct string for BMP code points","decode-codepoint","Sat Oct 18 10:55:59 UTC 2025","passed","Sat Oct 18 10:55:59 UTC 2025","","fromCodePoint","",""
"","1","should create new object when globalThis is empty","shared module","Sat Oct 18 10:55:44 UTC 2025","passed","Sat Oct 18 10:55:44 UTC 2025","","shared object","",""
"","0","should have studiocms:astro:config hook","studiocmsMDX","Sat Oct 18 10:55:22 UTC 2025","passed","Sat Oct 18 10:55:22 UTC 2025","","plugin hooks","",""
"","6","should generate Cloudinary URL for local image","cloudinaryImageService","Sat Oct 18 10:55:27 UTC 2025","passed","Sat Oct 18 10:55:27 UTC 2025","","successful image generation","",""
"","4","should handle evaluation errors gracefully","renderMDX","Sat Oct 18 10:55:20 UTC 2025","passed","Sat Oct 18 10:55:20 UTC 2025","","","",""
"","8","should provide config through context","Scrypt Module","Sat Oct 18 10:55:25 UTC 2025","passed","Sat Oct 18 10:55:25 UTC 2025","","ScryptConfig","",""
"","0","should use empty string for missing variables by default","TemplateRenderer","Sat Oct 18 10:55:47 UTC 2025","passed","Sat Oct 18 10:55:47 UTC 2025","","Missing variables","",""
"","86","hashPassword produces a secure password string","Password Module","Sat Oct 18 10:55:57 UTC 2025","passed","Sat Oct 18 10:55:57 UTC 2025","","","",""
"","15","createRenderer function is available","WYSIWYG Partial Route","Sat Oct 18 10:55:57 UTC 2025","passed","Sat Oct 18 10:55:57 UTC 2025","","","",""
"","0","should handle HTML with no components to swap","transformHTML","Sat Oct 18 10:55:31 UTC 2025","passed","Sat Oct 18 10:55:31 UTC 2025","","","",""
"","10","processes a metric group with 4+ items and computes histogram, percentiles, sampleSize","processWebVitalsSummary","Sat Oct 18 10:55:44 UTC 2025","passed","Sat Oct 18 10:55:44 UTC 2025","","","",""
"","1","should allow undefined input and default to {}","localUsernameAndPasswordConfig","Sat Oct 18 10:55:51 UTC 2025","passed","Sat Oct 18 10:55:51 UTC 2025","","","",""
"","3605","should perform end-to-end mail sending workflow","SMTP Service","Sat Oct 18 10:55:28 UTC 2025","passed","Sat Oct 18 10:55:32 UTC 2025","","Integration tests","",""
"","0","should handle empty templates","TemplateEngine","Sat Oct 18 10:55:44 UTC 2025","passed","Sat Oct 18 10:55:44 UTC 2025","","Basic functionality","",""
"","1","verifyPasswordLength returns undefined for valid length","Password Utils","Sat Oct 18 10:55:52 UTC 2025","passed","Sat Oct 18 10:55:52 UTC 2025","","","",""
"","4","Editor with MDX content including JSX","MDX Editor component","Sat Oct 18 10:55:42 UTC 2025","passed","Sat Oct 18 10:55:42 UTC 2025","","","",""
"","0","returns ""Editor"" for ""editor""","getLabelForPermissionLevel","Sat Oct 18 10:56:10 UTC 2025","passed","Sat Oct 18 10:56:10 UTC 2025","","","",""
"","2","generateRandomIDNumber returns a number of correct length","SDKCore_Generators","Sat Oct 18 10:55:59 UTC 2025","passed","Sat Oct 18 10:55:59 UTC 2025","","","",""
"","261","HTTPClient provides a retrying HttpClient instance","Effect Utilities","Sat Oct 18 10:56:07 UTC 2025","passed","Sat Oct 18 10:56:07 UTC 2025","","","",""
"","0","ensureLeadingSlash adds slash if missing","pathGenerators","Sat Oct 18 10:55:50 UTC 2025","passed","Sat Oct 18 10:55:50 UTC 2025","","","",""
"","73","breakSecurePassword throws on invalid format","Password Utils","Sat Oct 18 10:55:52 UTC 2025","passed","Sat Oct 18 10:55:52 UTC 2025","","","",""
"","0","should configure GitHub as OAuth provider","@studiocms/github","Sat Oct 18 10:55:34 UTC 2025","passed","Sat Oct 18 10:55:34 UTC 2025","","OAuth provider configuration","",""
"","0","should validate rendered data structure","WordPress API Schema","Sat Oct 18 10:55:24 UTC 2025","passed","Sat Oct 18 10:55:24 UTC 2025","","RenderedData","",""
"","0","should return StudioCMSOptions type","defineStudioCMSConfig","Sat Oct 18 10:56:10 UTC 2025","passed","Sat Oct 18 10:56:10 UTC 2025","","","",""
"","0","should be instance of StudioCMSError","StudioCMSCoreError","Sat Oct 18 10:56:09 UTC 2025","passed","Sat Oct 18 10:56:09 UTC 2025","","","",""
"","3","fails on array with non-number","SDKCore_Parsers","Sat Oct 18 10:55:42 UTC 2025","passed","Sat Oct 18 10:55:42 UTC 2025","","parseIdNumberArray","",""
"","4","renders GFM task lists","parseMarkdown","Sat Oct 18 10:56:09 UTC 2025","passed","Sat Oct 18 10:56:09 UTC 2025","","","",""
"","0","should handle null values","TemplateRenderer","Sat Oct 18 10:55:47 UTC 2025","passed","Sat Oct 18 10:55:47 UTC 2025","","Data types","",""
"","0","should handle empty route string","makeAPIRoute","Sat Oct 18 10:56:02 UTC 2025","passed","Sat Oct 18 10:56:02 UTC 2025","","","",""
"","4","parses type alias props","PropsParser","Sat Oct 18 10:55:46 UTC 2025","passed","Sat Oct 18 10:55:46 UTC 2025","","parseComponentProps","",""
"","0","should handle string with no underscores","String Utilities","Sat Oct 18 10:55:27 UTC 2025","passed","Sat Oct 18 10:55:27 UTC 2025","","convertUnderscoresToHyphens","",""
"","0","should validate single sidebar page","DashboardPageSchema","Sat Oct 18 10:55:32 UTC 2025","passed","Sat Oct 18 10:55:32 UTC 2025","","","",""
"","0","should return tabs for tab-indented line","String Utilities","Sat Oct 18 10:55:27 UTC 2025","passed","Sat Oct 18 10:55:27 UTC 2025","","getIndent","",""
"","2","prevents default event behavior","formListener","Sat Oct 18 10:56:16 UTC 2025","passed","Sat Oct 18 10:56:16 UTC 2025","","","",""
"","0","should include instructions for password reset and ignoring if not requested","passwordReset template","Sat Oct 18 10:56:05 UTC 2025","passed","Sat Oct 18 10:56:05 UTC 2025","","","",""
"","0","should allow partial overrides and use defaults for missing values","dashboardConfigSchema","Sat Oct 18 10:55:57 UTC 2025","passed","Sat Oct 18 10:55:57 UTC 2025","","","",""
"","1","parseRequiredPerms returns correct UserPermissionLevel","User Utils","Sat Oct 18 10:55:47 UTC 2025","passed","Sat Oct 18 10:55:47 UTC 2025","","","",""
"","0","validates sanitize with allowElements only","WYSIWYG Types and Schema","Sat Oct 18 10:55:33 UTC 2025","passed","Sat Oct 18 10:55:33 UTC 2025","","WYSIWYGSchema","",""
"","10","provides a service for deep merging","deepmerge test","Sat Oct 18 10:55:50 UTC 2025","passed","Sat Oct 18 10:55:50 UTC 2025","","Deepmerge Effect Service","",""
"","1","validateSessionToken returns session and user for valid token","Session Module","Sat Oct 18 10:55:36 UTC 2025","passed","Sat Oct 18 10:55:36 UTC 2025","","","",""
"","10","should render simple MDX content","renderMDX","Sat Oct 18 10:55:20 UTC 2025","passed","Sat Oct 18 10:55:20 UTC 2025","","","",""
"","1","should reject page data with missing required fields","WordPress API Schema","Sat Oct 18 10:55:24 UTC 2025","passed","Sat Oct 18 10:55:24 UTC 2025","","Page","",""
"","0","should handle strict sanitization","transformHTML","Sat Oct 18 10:55:31 UTC 2025","passed","Sat Oct 18 10:55:31 UTC 2025","","sanitization with custom options","",""
"","0","returns ""Unknown"" for unknown permission levels","getLabelForPermissionLevel","Sat Oct 18 10:56:10 UTC 2025","passed","Sat Oct 18 10:56:10 UTC 2025","","","",""
"","0","returns code point for valid code points","replaceCodePoint","Sat Oct 18 10:55:48 UTC 2025","passed","Sat Oct 18 10:55:48 UTC 2025","","","",""
"","0","should set correct endpoint path","@studiocms/google","Sat Oct 18 10:55:33 UTC 2025","passed","Sat Oct 18 10:55:33 UTC 2025","","OAuth provider configuration","",""
"","0","should handle only whitespace lines","String Utilities","Sat Oct 18 10:55:27 UTC 2025","passed","Sat Oct 18 10:55:27 UTC 2025","","dedent","",""
"","1","setOAuthSessionTokenCookie sets OAuth cookie","Session Module","Sat Oct 18 10:55:36 UTC 2025","passed","Sat Oct 18 10:55:36 UTC 2025","","","",""
"","0","should handle missing variables in non-strict mode","TemplateEngine","Sat Oct 18 10:55:44 UTC 2025","passed","Sat Oct 18 10:55:44 UTC 2025","","Basic functionality","",""
"","0","should return false for a date older than 24 hours","checkDate","Sat Oct 18 10:55:58 UTC 2025","passed","Sat Oct 18 10:55:58 UTC 2025","","","",""
"","0","returns NaN for empty array","webVitalsUtils","Sat Oct 18 10:55:26 UTC 2025","passed","Sat Oct 18 10:55:26 UTC 2025","","calculateInpAverage","",""
"","0","should accept full config","authConfigSchema","Sat Oct 18 10:55:51 UTC 2025","passed","Sat Oct 18 10:55:51 UTC 2025","","","",""
"","0","throws error if comp is undefined","pageContentComponentFilter","Sat Oct 18 10:55:59 UTC 2025","passed","Sat Oct 18 10:55:59 UTC 2025","","","",""
"","3","throws an error if the service merge function throws","deepmerge test","Sat Oct 18 10:55:50 UTC 2025","passed","Sat Oct 18 10:55:50 UTC 2025","","Deepmerge Effect Service","",""
"","0","should handle function that returns undefined","tryCatch","Sat Oct 18 10:55:26 UTC 2025","passed","Sat Oct 18 10:55:26 UTC 2025","","edge cases","",""
"","0","does not log info/debug when verbose is false","integrationLogger","Sat Oct 18 10:55:40 UTC 2025","passed","Sat Oct 18 10:55:40 UTC 2025","","","",""
"","2","calls fetch with correct arguments and shows success toast on register","formListener","Sat Oct 18 10:56:16 UTC 2025","passed","Sat Oct 18 10:56:16 UTC 2025","","","",""
"","1","should set up virtual imports correctly for Astro flavor without script injection","studiocmsMD","Sat Oct 18 10:55:20 UTC 2025","passed","Sat Oct 18 10:55:20 UTC 2025","","plugin hooks","",""
"","0","should return a valid StudioCMSPlugin object","@studiocms/google","Sat Oct 18 10:55:33 UTC 2025","passed","Sat Oct 18 10:55:33 UTC 2025","","plugin creation","",""
